"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vx6";"Vy6";"Vx9";"Vy9";"Vx12";"Vy12";"Vx15";"Vy15";"Vx18";"Vy18";"maxO3v"
"19950401";47.6;10.1;11.6;13.3;13.6;12.2;8;8;8;8;8;-2;-2.44929359829471e-16;-3.75877048314363;1.36808057330267;-3.46410161513775;2;-1.36808057330268;3.75877048314363;1.36808057330268;3.75877048314363;62.2
"19950402";56.2;9.5;9.4;13.8;17.4;16.3;8;8;7;0;0;1.96961550602442;-0.347296355333861;0.684040286651338;-1.87938524157182;1.83697019872103e-16;-3;0.939692620785908;-0.342020143325669;-0.347296355333861;1.96961550602442;47.6
"19950403";61.8;3.6;8;16.8;21.5;20.2;4;5;2;2;3;-1.53208888623796;1.28557521937308;0.684040286651338;1.87938524157182;-0.342020143325669;0.939692620785908;0.347296355333861;-1.96961550602442;0.520944533000791;-2.95442325903662;56.2
"19950404";50.8;9.5;10.5;11.4;12.2;11.4;8;7;7;7;8;1.02606042997701;2.81907786235772;0.694592710667722;3.93923101204883;-0.520944533000791;2.95442325903662;-0.520944533000791;2.95442325903662;-0.694592710667721;3.93923101204883;61.8
"19950405";59.8;9.8;10.8;13.8;14.3;13.3;8;7;8;8;7;-1;1.73205080756888;-0.684040286651339;1.87938524157182;-0.984807753012208;0.17364817766693;-1.92836282905962;2.29813332935693;-0.694592710667721;3.93923101204883;50.8
"19950406";53.4;8.9;10.2;12.6;13.2;12.9;8;8;8;8;7;-0.866025403784439;-0.5;-2.29813332935693;-1.92836282905962;-1.87938524157182;0.684040286651337;-0.866025403784439;0.5;-0.520944533000791;2.95442325903662;59.8
"19950407";49.4;11.2;11;13.3;14.9;12.5;8;8;8;7;7;-0.642787609686539;0.766044443118978;-0.347296355333861;1.96961550602442;-0.17364817766693;0.984807753012208;-2.5;4.33012701892219;-9.18485099360515e-16;5;53.4
"19950408";82.8;10;13.4;15.6;15.4;13.9;8;7;1;3;7;1.36808057330268;3.75877048314363;5.90884651807325;1.04188906600158;6;0;3;5.19615242270663;4.92403876506104;0.868240888334652;49.4
"19950409";76.8;3.7;8.3;12.3;13.9;13.2;2;4;3;5;5;2.81907786235773;1.02606042997701;6;0;4;0;4.92403876506104;0.868240888334652;3.93923101204883;0.694592710667721;82.8
"19950410";92.6;3.1;9.3;14.1;16.5;14.6;6;6;4;4;7;-0.347296355333861;1.96961550602442;0.766044443118978;0.642787609686539;1.73205080756888;1;3.93923101204883;0.694592710667721;3.75877048314363;1.36808057330267;76.8
"19950411";90.6;4.3;13.7;17;18.5;17.1;3;2;4;3;0;-0.5;0.866025403784438;4;0;4.92403876506104;-0.868240888334652;4;0;2.59807621135332;1.5;92.6
"19950412";104.6;4.8;12.9;18;18.9;16.3;1;1;1;0;0;-0.342020143325669;0.939692620785908;1;1.73205080756888;4.33012701892219;2.5;2.05212085995401;5.63815572471545;4.49951326780578;5.36231110183285;90.6
"19950413";71;5.9;10.9;13.3;15;13.6;1;1;1;1;1;2.5;4.33012701892219;8.45723358707318;3.07818128993102;6.06217782649107;3.5;4;6.92820323027551;5.19615242270663;3;104.6
"19950414";66.6;6.5;10.5;14.1;15.6;13.1;0;1;1;2;4;1.36808057330268;3.75877048314363;3;5.19615242270663;2.05212085995401;5.63815572471545;2.05212085995401;5.63815572471545;-0.868240888334652;4.92403876506104;71
"19950415";93.8;7;8;13.6;14.1;10.9;8;7;7;7;8;-1.5;2.59807621135332;-2.29813332935693;1.92836282905962;-2.5;4.33012701892219;-1.04188906600158;5.90884651807325;1.21553724366851;6.89365427108546;66.6
"19950416";87.2;7.1;9.1;11.3;12;10.5;7;7;6;5;5;-0.347296355333861;1.96961550602442;0.520944533000791;2.95442325903662;-0.868240888334652;4.92403876506104;-2.39414100327969;6.57784834550136;-2.5;4.33012701892219;93.8
"19950417";71.6;9.2;11.2;12;12.1;11.6;8;8;8;8;8;-1.96961550602442;-0.347296355333861;-3.75877048314363;-1.36808057330268;-3.93923101204883;0.694592710667722;-5.63815572471545;2.05212085995401;-5.63815572471545;2.05212085995401;87.2
"19950418";72.4;10.7;12;12.3;10.4;9.8;8;8;8;8;7;-6.57784834550136;-2.39414100327968;-6.92820323027551;-4;-6.57784834550136;-2.39414100327968;-1.92836282905962;2.29813332935693;-3.85672565811924;4.59626665871387;71.6
"19950419";63.4;2.6;8.1;7.8;7;6.4;6;3;7;7;5;-2.29813332935693;1.92836282905962;-3.46410161513775;2;-5.36231110183285;4.49951326780577;-1.83697019872103e-16;1;-2.29813332935693;-1.92836282905962;72.4
"19950420";62.2;-0.3;7.3;10.2;10.5;10.1;1;3;6;8;8;0;0;0.984807753012208;0.17364817766693;-2;-2.44929359829471e-16;0.347296355333861;-1.96961550602442;1.22464679914735e-16;-2;63.4
"19950421";76.8;5.4;11.4;13;12.8;9.1;6;5;7;6;8;3.46410161513775;2;7;0;6.89365427108546;1.21553724366851;6.92820323027551;4;5.78508848717885;6.8943999880708;62.2
"19950422";69.4;6.1;7.3;7.7;8.2;7.3;8;8;8;8;4;1.71010071662834;-4.69846310392954;1.04188906600158;-5.90884651807325;1.04188906600158;-5.90884651807325;-3.07818128993102;-8.45723358707318;-2.39414100327968;-6.57784834550136;76.8
